max_target_length = 512, min_target_length = 128, beam_size = 10, ngram_repeat = 2, bleu = 1.15913, BertScore = {'precision': 0.77547, 'recall': 0.75472, 'f1': 0.76426}, rougeL = {'precision': 0.21048, 'recall': 0.15937, 'fmeasure': 0.14459} 
2022-10-02 07:24---max_target_length = 512, min_target_length = 128, beam_size = 10, ngram_repeat = 3, bleu = 1.05004, BertScore = {'precision': 0.77948, 'recall': 0.74535, 'f1': 0.76119}, rougeL = {'precision': 0.22509, 'recall': 0.16058, 'fmeasure': 0.14902} 
2022-10-02 07:25---max_target_length = 512, min_target_length = 128, beam_size = 10, ngram_repeat = 3, bleu = 1.05004, BertScore = {'precision': 0.77948, 'recall': 0.74535, 'f1': 0.76119}, rougeL = {'precision': 0.22509, 'recall': 0.16058, 'fmeasure': 0.14902} 
2022-10-02 07:30---max_target_length = 512, min_target_length = 128, beam_size = 10, ngram_repeat = 4, bleu = 0.92202, BertScore = {'precision': 0.78219, 'recall': 0.73829, 'f1': 0.75872}, rougeL = {'precision': 0.2168, 'recall': 0.15766, 'fmeasure': 0.1476} 
2022-10-02 07:34---max_target_length = 512, min_target_length = 128, beam_size = 5, ngram_repeat = 2, bleu = 1.12994, BertScore = {'precision': 0.77623, 'recall': 0.75403, 'f1': 0.76429}, rougeL = {'precision': 0.21103, 'recall': 0.16509, 'fmeasure': 0.14784} 
2022-10-02 07:35---max_target_length = 512, min_target_length = 128, beam_size = 3, ngram_repeat = 2, bleu = 0.99103, BertScore = {'precision': 0.77835, 'recall': 0.7538, 'f1': 0.76514}, rougeL = {'precision': 0.21256, 'recall': 0.16536, 'fmeasure': 0.14721} 
2022-10-02 07:38---max_target_length = 512, min_target_length = 128, beam_size = 7, ngram_repeat = 2, bleu = 1.22691, BertScore = {'precision': 0.77476, 'recall': 0.75384, 'f1': 0.76341}, rougeL = {'precision': 0.21015, 'recall': 0.16398, 'fmeasure': 0.14628} 
2022-10-02 07:39---max_target_length = 512, min_target_length = 128, beam_size = 6, ngram_repeat = 2, bleu = 1.27223, BertScore = {'precision': 0.77728, 'recall': 0.75557, 'f1': 0.76551}, rougeL = {'precision': 0.21323, 'recall': 0.16308, 'fmeasure': 0.14762} 
2022-10-02 07:43---max_target_length = 512, min_target_length = 128, beam_size = 6, ngram_repeat = 4, bleu = 0.96997, BertScore = {'precision': 0.78038, 'recall': 0.73687, 'f1': 0.75716}, rougeL = {'precision': 0.21555, 'recall': 0.16026, 'fmeasure': 0.14887} 
2022-10-02 07:47---max_target_length = 512, min_target_length = 128, beam_size = 6, ngram_repeat = 5, bleu = 1.13685, BertScore = {'precision': 0.77529, 'recall': 0.72731, 'f1': 0.74959}, rougeL = {'precision': 0.21092, 'recall': 0.1527, 'fmeasure': 0.14409} 
2022-10-02 07:53---max_target_length = 512, min_target_length = 128, beam_size = 12, ngram_repeat = 5, bleu = 1.02342, BertScore = {'precision': 0.77679, 'recall': 0.72751, 'f1': 0.75033}, rougeL = {'precision': 0.21339, 'recall': 0.14954, 'fmeasure': 0.14133} 
2022-10-02 07:59---max_target_length = 512, min_target_length = 128, beam_size = 12, ngram_repeat = 3, bleu = 1.01428, BertScore = {'precision': 0.78015, 'recall': 0.74593, 'f1': 0.76183}, rougeL = {'precision': 0.22174, 'recall': 0.16068, 'fmeasure': 0.14892} 
2022-10-02 08:01---max_target_length = 512, min_target_length = 128, beam_size = 12, ngram_repeat = 2, bleu = 1.2074, BertScore = {'precision': 0.77282, 'recall': 0.75438, 'f1': 0.76277}, rougeL = {'precision': 0.21047, 'recall': 0.16165, 'fmeasure': 0.14521} 
2022-10-02 08:04---max_target_length = 512, min_target_length = 128, beam_size = 12, ngram_repeat = 1, bleu = 0.65261, BertScore = {'precision': 0.73897, 'recall': 0.75338, 'f1': 0.74544}, rougeL = {'precision': 0.14801, 'recall': 0.12394, 'fmeasure': 0.10615} 
2022-10-02 08:06---max_target_length = 512, min_target_length = 50, beam_size = 6, ngram_repeat = 2, bleu = 0.07449, BertScore = {'precision': 0.78735, 'recall': 0.72883, 'f1': 0.75624}, rougeL = {'precision': 0.30066, 'recall': 0.10989, 'fmeasure': 0.13391} 
2022-10-02 08:09---max_target_length = 512, min_target_length = 256, beam_size = 6, ngram_repeat = 2, bleu = 3.19466, BertScore = {'precision': 0.76407, 'recall': 0.76998, 'f1': 0.76628}, rougeL = {'precision': 0.15212, 'recall': 0.21583, 'fmeasure': 0.14152} 
2022-10-02 08:15---max_target_length = 1024, min_target_length = 512, beam_size = 6, ngram_repeat = 2, bleu = 2.75301, BertScore = {'precision': 0.74527, 'recall': 0.78044, 'f1': 0.76175}, rougeL = {'precision': 0.10115, 'recall': 0.27818, 'fmeasure': 0.1203} 
